ipm_region,capacity_mw,id,mw
p127,2739.8,p127,2739.8
p41,366.0,p41,366.0
p37,1420.3,p37,1420.3
p51,150.4,p51,150.4
p132,5.0,p132,5.0
p21,285.0,p21,285.0
p79,54.0,p79,54.0
p75,31.0,p75,31.0
p40,3128.0,p40,3128.0
p44,2664.6,p44,2664.6
p77,224.6,p77,224.6
p130,214.1,p130,214.1
p76,503.9,p76,503.9
p134,1032.5,p134,1032.5
p9,1655.9,p9,1655.9
p116,856.0,p116,856.0
p45,7125.5,p45,7125.5
p43,249.3,p43,249.3
p112,1055.6,p112,1055.6
p80,2521.7,p80,2521.7
p10,4281.2,p10,4281.2
p18,805.2,p18,805.2
p7,53.0,p7,53.0
p11,458.4,p11,458.4
p32,105.0,p32,105.0
p50,11600.8,p50,11600.8
p16,872.3,p16,872.3
p1,603.6,p1,603.6
p38,2851.1,p38,2851.1
p12,150.0,p12,150.0
p2,2533.9,p2,2533.9
p81,1592.1,p81,1592.1
p69,1220.6,p69,1220.6
p60,10427.6,p60,10427.6
p28,658.5,p28,658.5
p24,3168.2,p24,3168.2
p71,400.0,p71,400.0
p115,65.4,p115,65.4
p27,360.0,p27,360.0
p33,1894.3,p33,1894.3
p25,389.7,p25,389.7
p3,249.3,p3,249.3
p39,30.0,p39,30.0
p105,3640.7,p105,3640.7
p92,28.8,p92,28.8
p53,8329.6,p53,8329.6
p83,2641.4,p83,2641.4
p48,8096.0,p48,8096.0
p47,2132.6,p47,2132.6
p31,2294.9,p31,2294.9
p82,1147.5,p82,1147.5
p52,769.0,p52,769.0
p5,3927.9,p5,3927.9
p131,86.7,p131,86.7
p20,854.8,p20,854.8
p111,12.7,p111,12.7
p55,298.8,p55,298.8
p35,237.9,p35,237.9
p70,4631.5,p70,4631.5
p15,202.4,p15,202.4
p63,5081.6,p63,5081.6
p49,897.7,p49,897.7
p121,190.0,p121,190.0
p133,43.5,p133,43.5
p126,9.0,p126,9.0
p87,184.5,p87,184.5
p122,1400.6,p122,1400.6
p103,3676.5,p103,3676.5
p34,3481.2,p34,3481.2
p61,7130.2,p61,7130.2
p62,2431.4,p62,2431.4
p98,208.0,p98,208.0
p68,1983.1,p68,1983.1
p129,151.0,p129,151.0
p74,100.8,p74,100.8
p42,59.7,p42,59.7
p54,1736.9,p54,1736.9
p65,8496.0,p65,8496.0
p36,2910.0,p36,2910.0
p119,90.0,p119,90.0
p100,,p100,
p101,,p101,
p102,,p102,
p104,,p104,
p106,,p106,
p107,,p107,
p108,,p108,
p109,,p109,
p110,,p110,
p113,,p113,
p114,,p114,
p117,,p117,
p118,,p118,
p120,,p120,
p123,,p123,
p124,,p124,
p125,,p125,
p128,,p128,
p13,,p13,
p14,,p14,
p17,,p17,
p19,,p19,
p22,,p22,
p23,,p23,
p26,,p26,
p29,,p29,
p30,,p30,
p4,,p4,
p46,,p46,
p56,,p56,
p57,,p57,
p58,,p58,
p59,,p59,
p6,,p6,
p64,,p64,
p66,,p66,
p67,,p67,
p72,,p72,
p73,,p73,
p78,,p78,
p8,,p8,
p84,,p84,
p85,,p85,
p86,,p86,
p88,,p88,
p89,,p89,
p90,,p90,
p91,,p91,
p93,,p93,
p94,,p94,
p95,,p95,
p96,,p96,
p97,,p97,
p99,,p99,
